TYPE,N,THREADS,TIME (MICROSECONDES)
vectoriel 256,32000,8,139
vectoriel 256,32000,16,246
vectoriel 256,32000,32,461
norm,320000,1,1631
vectoriel 128,320000,1,696
vectoriel 256,320000,1,1056
norm,320000,4,780
norm,320000,8,612
norm,320000,16,720
norm,320000,32,789
vectoriel 128,320000,4,296
vectoriel 128,320000,8,261
vectoriel 128,320000,16,393
vectoriel 128,320000,32,534
vectoriel 256,320000,4,329
vectoriel 256,320000,8,290
vectoriel 256,320000,16,365
vectoriel 256,320000,32,604
norm,3200000,1,15464
vectoriel 128,3200000,1,5862
vectoriel 256,3200000,1,10304
norm,3200000,4,5860
norm,3200000,8,3957
norm,3200000,16,3379
norm,3200000,32,3901
vectoriel 128,3200000,4,2952
vectoriel 128,3200000,8,1622
vectoriel 128,3200000,16,1611
vectoriel 128,3200000,32,1569
vectoriel 256,3200000,4,3329
vectoriel 256,3200000,8,1988
vectoriel 256,3200000,16,2242
vectoriel 256,3200000,32,2250
norm,32000000,1,155073
vectoriel 128,32000000,1,67143
vectoriel 256,32000000,1,98756
norm,32000000,4,47076
norm,32000000,8,34481
norm,32000000,16,30829
norm,32000000,32,32177
vectoriel 128,32000000,4,18355
vectoriel 128,32000000,8,14349
vectoriel 128,32000000,16,14248
vectoriel 128,32000000,32,12119
vectoriel 256,32000000,4,23761
vectoriel 256,32000000,8,19662
vectoriel 256,32000000,16,17159
vectoriel 256,32000000,32,14117
norm,320000000,1,1977530
vectoriel 128,320000000,1,622943
vectoriel 256,320000000,1,944025
norm,320000000,4,420808
norm,320000000,8,287032
norm,320000000,16,267014
norm,320000000,32,255144
vectoriel 128,320000000,4,157081
vectoriel 128,320000000,8,113547
vectoriel 128,320000000,16,103961
vectoriel 128,320000000,32,114499
vectoriel 256,320000000,4,587953
vectoriel 256,320000000,8,469794
vectoriel 256,320000000,16,238990
vectoriel 256,320000000,32,194011
norm,32000,1,127
vectoriel 128,32000,1,48
vectoriel 256,32000,1,80
norm,32000,4,116
norm,32000,8,158
norm,32000,16,394
norm,32000,32,558
vectoriel 128,32000,4,119
vectoriel 128,32000,8,230
vectoriel 128,32000,16,364
vectoriel 128,32000,32,667
vectoriel 256,32000,4,116
vectoriel 256,32000,8,236
vectoriel 256,32000,16,334
vectoriel 256,32000,32,616
norm,320000,1,1636
vectoriel 128,320000,1,797
vectoriel 256,320000,1,923
norm,320000,4,706
norm,320000,8,422
norm,320000,16,503
norm,320000,32,647
vectoriel 128,320000,4,255
vectoriel 128,320000,8,212
vectoriel 128,320000,16,361
vectoriel 128,320000,32,646
vectoriel 256,320000,4,343
vectoriel 256,320000,8,304
vectoriel 256,320000,16,332
vectoriel 256,320000,32,614
norm,3200000,1,15642
vectoriel 128,3200000,1,8010
vectoriel 256,3200000,1,12852
norm,3200000,4,5735
norm,3200000,8,5441
norm,3200000,16,5424
norm,3200000,32,3524
vectoriel 128,3200000,4,1808
vectoriel 128,3200000,8,1385
vectoriel 128,3200000,16,1404
vectoriel 128,3200000,32,1617
vectoriel 256,3200000,4,2893
vectoriel 256,3200000,8,2073
vectoriel 256,3200000,16,2283
vectoriel 256,3200000,32,1551
norm,32000000,1,170692
vectoriel 128,32000000,1,115547
vectoriel 256,32000000,1,117109
norm,32000000,4,50041
norm,32000000,8,33992
norm,32000000,16,30866
norm,32000000,32,33673
vectoriel 128,32000000,4,18858
vectoriel 128,32000000,8,11744
vectoriel 128,32000000,16,14005
vectoriel 128,32000000,32,18994
vectoriel 256,32000000,4,23141
vectoriel 256,32000000,8,15841
vectoriel 256,32000000,16,17231
vectoriel 256,32000000,32,13526
norm,320000000,1,2576557
vectoriel 128,320000000,1,635406
vectoriel 256,320000000,1,1235532
norm,320000000,4,723104
norm,320000000,8,462193
norm,320000000,16,319697
norm,320000000,32,312859
vectoriel 128,320000000,4,277132
vectoriel 128,320000000,8,211948
vectoriel 128,320000000,16,183629
vectoriel 128,320000000,32,205076
vectoriel 256,320000000,4,533252
vectoriel 256,320000000,8,320068
vectoriel 256,320000000,16,177824
vectoriel 256,320000000,32,156698
norm,32000,1,131
vectoriel 128,32000,1,49
vectoriel 256,32000,1,82
norm,32000,4,109
norm,32000,8,159
norm,32000,16,252
norm,32000,32,470
vectoriel 128,32000,4,92
vectoriel 128,32000,8,138
vectoriel 128,32000,16,278
vectoriel 128,32000,32,501
vectoriel 256,32000,4,80
vectoriel 256,32000,8,131
vectoriel 256,32000,16,223
vectoriel 256,32000,32,570
norm,320000,1,1963
vectoriel 128,320000,1,591
vectoriel 256,320000,1,1034
norm,320000,4,606
norm,320000,8,564
norm,320000,16,810
norm,320000,32,624
vectoriel 128,320000,4,297
vectoriel 128,320000,8,225
vectoriel 128,320000,16,363
vectoriel 128,320000,32,669
vectoriel 256,320000,4,472
vectoriel 256,320000,8,340
vectoriel 256,320000,16,390
vectoriel 256,320000,32,693
norm,3200000,1,26429
vectoriel 128,3200000,1,9186
vectoriel 256,3200000,1,13553
norm,3200000,4,5852
norm,3200000,8,4162
norm,3200000,16,5049
norm,3200000,32,7513
vectoriel 128,3200000,4,4427
vectoriel 128,3200000,8,4243
vectoriel 128,3200000,16,3772
vectoriel 128,3200000,32,3842
vectoriel 256,3200000,4,4739
vectoriel 256,3200000,8,2772
vectoriel 256,3200000,16,3526
